Row;EXR_NegV;EXR_PosV;EXR_NegL;EXR_PosL;REL_NegV;REL_PosV;REL_NegL;REL_PosL
mPFE3_01;192.925;199;189.897;195.7;231.1;229.3;210.667;230.775
mPFE3_02;188.385;188.975;171.436;180.375;229.15;210.949;200.025;204.615
mPFE3_03;172.053;174.868;159.5;160.359;250.744;221.103;206.051;222.575
mPFE3_04;197.55;180.925;187.641;189.632;223.026;222.55;216;204.795
mPFE3_05;221.625;219.59;226.825;231.6;273.55;280.564;239.6;248.9
mPFE3_06;234.95;226.375;222.846;228.875;231.125;227.5;221.025;223.45
mPFE3_07;278.135;260.5;251;264.175;325.892;323.718;290.108;311.025
mPFE3_08;214.237;218.771;199.727;205.205;249.103;247.211;223.231;231.7
mPFE3_09;239.025;233.769;234.487;237.875;250.368;252.475;232.875;250.625
mPFE3_10;252.375;258.775;257.275;251.55;281.5;291.05;269.9;285.475
mPFE3_11;222.513;216;214.05;214.725;222.45;224.35;223.718;216.15
mPFE3_12;267.487;260.744;247.675;249.85;260.7;259.132;238.718;246.282
mPFE3_13;216.075;214.125;204.385;212.289;265.85;261.05;247.974;256.2
mPFE3_14;252.949;253.658;251.553;237.41;269.45;279.9;270;263.025
mPFE3_15;227.775;233.95;228.175;238.175;255.375;248.2;241.85;252.775
mPFE3_16;224.925;235.15;214.289;214.9;252.275;250.615;231.275;229.15
mPFE3_17;221.474;230.622;208.179;226.575;269.35;280.605;242.974;243.158
mPFE3_19;237.475;233.4;227.921;234.375;251.55;263.667;243.375;249.225
mPFE3_20;266.133;246.1;256.241;278.4;288.967;258.733;254.893;271.276
