Run           Event         Onset         Dur
1             scrL           14.625       350
1             ButtonResp    -1887.901     0
1             posL           18.029       350
1             ButtonResp    -1887.901     0
1             scrL           21.416       350
1             ButtonResp    -1887.901     0
1             posV           24.82        350
1             ButtonResp    -1887.901     0
1             negL           28.223       350
1             ButtonResp    -1887.901     0
1             posFOIL        31.627       350
1             ButtonResp    -1887.901     0
1             posV           35.014       350
1             ButtonResp    -1887.901     0
1             negL           38.417       350
1             ButtonResp    -1887.901     0
1             negL           41.821       350
1             ButtonResp    -1887.901     0
1             scrV           45.225       350
1             ButtonResp    -1887.901     0
1             posV           48.628       350
1             ButtonResp    -1887.901     0
1             posV           52.015       350
1             ButtonResp    -1887.901     0
1             posL           55.419       350
1             ButtonResp    -1887.901     0
1             negFOIL        58.823       350
1             ButtonResp    -1887.901     0
1             posV           72.22        350
1             ButtonResp    -1887.901     0
1             posFOIL        75.624       350
1             ButtonResp    -1887.901     0
1             negV           79.028       350
1             ButtonResp    -1887.901     0
1             posV           82.415       350
1             ButtonResp    -1887.901     0
1             negV           85.818       350
1             ButtonResp    -1887.901     0
1             posV           89.222       350
1             ButtonResp    -1887.901     0
1             negV           92.626       350
1             ButtonResp    -1887.901     0
1             negL           96.029       350
1             ButtonResp    -1887.901     0
1             negFOIL        99.416       350
1             ButtonResp    -1887.901     0
1             negL           102.82       350
1             ButtonResp    -1887.901     0
1             posV           106.224      350
1             ButtonResp    -1887.901     0
1             posFOIL        109.627      350
1             ButtonResp    -1887.901     0
1             negV           113.014      350
1             ButtonResp    -1887.901     0
1             posL           116.418      350
1             ButtonResp    -1887.901     0
1             scrV           129.815      350
1             ButtonResp    -1887.901     0
1             posFOIL        133.219      350
1             ButtonResp    -1887.901     0
1             negV           136.623      350
1             ButtonResp    -1887.901     0
1             negV           140.026      350
1             ButtonResp    -1887.901     0
1             scrFOIL        143.413      350
1             ButtonResp    -1887.901     0
1             negV           146.817      350
1             ButtonResp    -1887.901     0
1             negL           150.221      350
1             ButtonResp    -1887.901     0
1             posV           153.624      350
1             ButtonResp    -1887.901     0
1             negL           157.028      350
1             ButtonResp    -1887.901     0
1             negFOIL        160.415      350
1             ButtonResp    -1887.901     0
1             negV           163.819      350
1             ButtonResp    -1887.901     0
1             negL           167.222      350
1             ButtonResp    -1887.901     0
1             negV           170.626      350
1             ButtonResp    -1887.901     0
1             negV           174.03       350
1             ButtonResp    -1887.901     0
1             posFOIL        187.427      350
1             ButtonResp    -1887.901     0
1             scrFOIL        190.814      350
1             ButtonResp    -1887.901     0
1             posL           194.218      350
1             ButtonResp    -1887.901     0
1             posL           197.622      350
1             ButtonResp    -1887.901     0
1             negL           201.025      350
1             ButtonResp    -1887.901     0
1             posL           204.429      350
1             ButtonResp    -1887.901     0
1             posV           207.816      350
1             ButtonResp    -1887.901     0
1             negL           211.219      350
1             ButtonResp    -1887.901     0
1             negFOIL        214.623      350
1             ButtonResp    -1887.901     0
1             negV           218.027      350
1             ButtonResp    -1887.901     0
1             negV           221.414      350
1             ButtonResp    -1887.901     0
1             scrL           224.817      350
1             ButtonResp    -1887.901     0
1             negV           228.221      350
1             ButtonResp    -1887.901     0
1             scrL           231.625      350
1             ButtonResp    -1887.901     0
1             posL           245.022      350
1             ButtonResp    -1887.901     0
1             negFOIL        248.426      350
1             ButtonResp    -1887.901     0
1             posL           251.83       350
1             ButtonResp    -1887.901     0
1             posL           255.217      350
1             ButtonResp    -1887.901     0
1             negL           258.62       350
1             ButtonResp    -1887.901     0
1             scrV           262.024      350
1             ButtonResp    -1887.901     0
1             negL           265.428      350
1             ButtonResp    -1887.901     0
1             negL           268.815      350
1             ButtonResp    -1887.901     0
1             posL           272.218      350
1             ButtonResp    -1887.901     0
1             posFOIL        275.622      350
1             ButtonResp    -1887.901     0
1             posV           279.026      350
1             ButtonResp    -1887.901     0
1             negFOIL        282.429      350
1             ButtonResp    -1887.901     0
1             posL           285.816      350
1             ButtonResp    -1887.901     0
1             negV           289.22       350
1             ButtonResp    -1887.901     0
1             posL           302.617      350
1             ButtonResp    -1887.901     0
1             posL           306.021      350
1             ButtonResp    -1887.901     0
1             posV           309.425      350
1             ButtonResp    -1887.901     0
1             negL           312.828      350
1             ButtonResp    -1887.901     0
1             negL           316.215      350
1             ButtonResp     316.674      8
1             scrV           319.619      350
1             ButtonResp    -1887.901     0
1             scrFOIL        323.023      350
1             ButtonResp    -1887.901     0
1             posV           326.426      350
1             ButtonResp    -1887.901     0
1             posL           329.813      350
1             ButtonResp    -1887.901     0
1             negFOIL        333.217      350
1             ButtonResp    -1887.901     0
1             posL           336.621      350
1             ButtonResp    -1887.901     0
1             negL           340.024      350
1             ButtonResp    -1887.901     0
1             posL           343.428      350
1             ButtonResp    -1887.901     0
1             negV           346.815      350
1             ButtonResp    -1887.901     0
1             negV           360.229      350
1             ButtonResp    -1887.901     0
1             posV           363.616      350
1             ButtonResp    -1887.901     0
1             posFOIL        367.02       350
1             ButtonResp    -1887.901     0
1             negL           370.424      350
1             ButtonResp    -1887.901     0
1             scrFOIL        373.827      350
1             ButtonResp    -1887.901     0
1             posV           377.214      350
1             ButtonResp    -1887.901     0
1             posL           380.618      350
1             ButtonResp    -1887.901     0
1             negV           384.021      350
